name,category,barcode,brand,content,baseUnitCode,price,stock,minStock,conversions
Durazno en Almíbar Dos Caballos,Conservas,7751234200020,Dos Caballos,820g,UNIT,12.00,30,8,
Ketchup Heinz 397g,Salsas y Condimentos,7750106300001,Heinz,397g,UNIT,9.50,40,10,
Mayonesa Alacena 475g,Salsas y Condimentos,7750106300010,Alacena,475g,UNIT,10.00,50,12,
Mostaza Heinz 396g,Salsas y Condimentos,7750106300020,Heinz,396g,UNIT,8.00,35,8,
Ají Tarí 400g,Salsas y Condimentos,7750106300030,Tarí,400g,UNIT,8.50,40,10,
Ajinomoto 100g,Salsas y Condimentos,7751234300040,Ajinomoto,100g,UNIT,3.50,80,20,"PACK:24"
Sal Marina Emsal 1kg,Salsas y Condimentos,7751234300050,Emsal,1kg,UNIT,2.00,100,25,"PACK:24"
Harina Blanca Flor 1kg,Harinas y Panificación,7751234400001,Blanca Flor,1kg,UNIT,5.00,50,12,"PACK:12"
Harina preparada Blanca Flor,Harinas y Panificación,7751234400002,Blanca Flor,1kg,UNIT,5.50,40,10,"PACK:12"
Leche Gloria Entera 400ml,Leches,7750243500001,Gloria,400ml,UNIT,3.50,100,25,"PACK:24"
Leche Gloria Entera 170ml,Leches,7750243500002,Gloria,170ml,UNIT,1.80,120,30,"PACK:48"
Leche Pura Vida 400ml,Leches,7750243500010,Pura Vida,400ml,UNIT,3.20,80,20,"PACK:24"
Leche Ideal 400ml,Leches,7750243500020,Ideal,400ml,UNIT,3.30,60,15,"PACK:24"
Yogurt Gloria Fresa 1L,Yogures,7750243600001,Gloria,1L,UNIT,7.00,40,10,
Yogurt Gloria Fresa 180ml,Yogures,7750243600002,Gloria,180ml,UNIT,1.50,60,15,"PACK:6"
Yogurt Laive Vainilla 1L,Yogures,7751234600010,Laive,1L,UNIT,6.80,35,8,
Mantequilla Gloria 200g,Mantequilla y Margarina,7750243700001,Gloria,200g,UNIT,8.50,40,10,
Margarina Sello de Oro 225g,Mantequilla y Margarina,7751234700010,Sello de Oro,225g,UNIT,5.00,50,12,
Huevos Rosados x 15,Huevos,7751234800010,La Calera,15und,PACK,10.50,50,10,
Huevos Pardos x 30,Huevos,7751234800011,La Calera,30und,BOX,20.00,30,5,
Pan de Molde Bimbo,Panes,7751234900001,Bimbo,450g,UNIT,7.50,20,5,
Tostadas Bimbo,Panes,7751234900010,Bimbo,210g,UNIT,5.00,30,8,
Galleta Soda Field,Galletas,7751235000001,Field,140g,UNIT,2.50,80,20,"PACK:12"
Galleta Oreo,Galletas,7751235000010,Oreo,119g,UNIT,3.00,60,15,"PACK:12"
Galleta Casino,Galletas,7751235000020,Victoria,43g,UNIT,0.80,150,40,"PACK:6,BOX:48"
Galleta Margarita,Galletas,7751235000030,Victoria,46g,UNIT,0.80,120,30,"PACK:6,BOX:48"
Sublime 30g,Chocolates,7751235100001,Nestlé,30g,UNIT,2.00,100,25,"PACK:24"
Triángulo 30g,Chocolates,7751235100010,Nestlé,30g,UNIT,2.00,80,20,"PACK:24"
Cua Cua,Chocolates,7751235100020,Nestlé,20g,UNIT,1.00,120,30,"PACK:24"
Caramelo Halls,Caramelos,7751235200001,Halls,25.2g,UNIT,1.50,150,40,"PACK:12"
Caramelo Mentitas,Caramelos,7751235200010,Ambrosoli,20g,UNIT,1.00,100,25,"PACK:20"
Papas Lays Clásica 42g,Snacks Salados,7751235300001,Lays,42g,UNIT,2.50,80,20,"PACK:12"
Papas Lays Americana 42g,Snacks Salados,7751235300002,Lays,42g,UNIT,2.50,60,15,"PACK:12"
Chifles Karinto 42g,Snacks Salados,7751235300010,Karinto,42g,UNIT,2.00,50,12,"PACK:12"
Doritos 45g,Snacks Salados,7751235300020,Doritos,45g,UNIT,3.00,60,15,"PACK:12"
Detergente Ariel 500g,Detergentes,7751236000001,Ariel,500g,UNIT,12.00,50,12,"PACK:12"
Detergente Bolivar 500g,Detergentes,7751236000010,Bolivar,500g,UNIT,10.00,60,15,"PACK:12"
Detergente Ace 850g,Detergentes,7751236000020,Ace,850g,UNIT,11.00,40,10,"PACK:12"
Lejía Clorox 1L,Lejías y Desinfectantes,7751236100001,Clorox,1L,UNIT,4.50,60,15,"PACK:12"
Lejía Sapolio 1L,Lejías y Desinfectantes,7751236100010,Sapolio,1L,UNIT,3.50,50,12,"PACK:12"
Desinfectante Pinesol 900ml,Lejías y Desinfectantes,7751236100020,Pinesol,900ml,UNIT,8.00,35,8,"PACK:6"
Jabón Bolivar 200g,Jabones,7751236200001,Bolivar,200g,UNIT,3.00,80,20,"PACK:48"
Jabón Marsella 200g,Jabones,7751236200010,Marsella,200g,UNIT,2.50,60,15,"PACK:48"
Papel Higiénico Elite x 4,Papel Higiénico,7751236300001,Elite,4 rollos,PACK,6.50,50,12,
Papel Higiénico Suave x 2,Papel Higiénico,7751236300010,Suave,2 rollos,PACK,3.00,80,20,
Papel Higiénico Noble x 8,Papel Higiénico,7751236300020,Noble,8 rollos,PACK,10.00,30,8,
Shampoo Head & Shoulders 375ml,Shampoo y Acondicionador,7751237000001,Head & Shoulders,375ml,UNIT,18.00,30,8,
Shampoo Pantene 400ml,Shampoo y Acondicionador,7751237000010,Pantene,400ml,UNIT,16.00,25,6,
Shampoo Dove 400ml,Shampoo y Acondicionador,7751237000020,Dove,400ml,UNIT,14.00,20,5,
Jabón Dove 90g,Jabones Personales,7751237100001,Dove,90g,UNIT,5.00,60,15,"PACK:6"
Jabón Palmolive 120g,Jabones Personales,7751237100010,Palmolive,120g,UNIT,3.50,80,20,"PACK:6"
Desodorante Rexona 150ml,Desodorantes,7751237200001,Rexona,150ml,UNIT,12.00,40,10,
Desodorante Axe 150ml,Desodorantes,7751237200010,Axe,150ml,UNIT,14.00,35,8,
Pasta Dental Colgate 90g,Pasta Dental,7751237300001,Colgate,90g,UNIT,4.50,80,20,"PACK:12"
Pasta Dental Colgate 150ml,Pasta Dental,7751237300010,Colgate,150ml,UNIT,8.00,50,12,"PACK:12"
